category,keyword,importance_score,avg_tfidf,std_tfidf
総合,研修,0.10919903447457943,0.09996419449908817,0.09238147740564752
総合,動画,0.08699045818001389,0.07783983765032523,0.11755703513662726
総合,社員,0.07291043533497402,0.07002404873040145,0.0412199331073442
総合,入社,0.06615422522017599,0.06287118944259791,0.05221844547056836
総合,登録,0.06613925624187111,0.05912436473440882,0.11864637428196861
総合,成長,0.06602180531397304,0.06328307575800264,0.04327744066112453
総合,会社,0.06529053279377293,0.06298561079919666,0.03659442157232629
総合,プロジェクト,0.06308564664162335,0.06015070637496097,0.04879311388908492
総合,当社,0.06240340649160702,0.0603728628230949,0.033633383834423075
総合,キャリア,0.061086447250211645,0.05824384264956399,0.04880523796739803
総合,手当,0.06056608945915712,0.057273344349132414,0.057491755500647376
総合,エンジニア,0.05987248278873248,0.05586809984691039,0.07167566022103651
総合,賞与,0.05960266971908784,0.05662446881527812,0.05259565283561919
総合,グループ,0.05892294811151026,0.054419990810266425,0.08274454358037742
総合,比企,0.058728909413252685,0.054935883738420635,0.06904459192633884
総合,可能,0.05687528146091585,0.05469545582851262,0.03985387084509665
総合,中央,0.05682024129580552,0.05423605569870003,0.04764700463214985
総合,働き,0.05676892835827443,0.05374541006549961,0.05625630707980534
総合,ポジション,0.056083390946140656,0.05113256031324741,0.0968234448375665
総合,月給,0.0546138096883814,0.051246799526612555,0.06570186222108078
総合,開発,0.054168989154444576,0.05049895123436522,0.07267552751831877
総合,企業,0.05405600062453753,0.052499896248487596,0.029640141928752115
総合,マッチ,0.053569702219434016,0.049118621501250646,0.09061900725512091
総合,取得,0.053418200261523004,0.051439035017135745,0.038475940377340805
総合,サポート,0.05308378231730039,0.051009740993196294,0.040659710943851526
総合,アップ,0.05271226075070914,0.049914789154203325,0.05604494467288036
総合,長生,0.05260630879152139,0.049234185460505064,0.06849150238753103
総合,残業,0.05249517860495467,0.05033511108200519,0.042913733108293634
総合,スタッフ,0.05205785515734764,0.04851280115475978,0.07307460955055646
総合,案件,0.051682479782017926,0.04809838969918119,0.07451580198947383
開発,案件,0.1847730454293451,0.15990396746489371,0.15552508395335046
開発,エンジニア,0.12446281077413365,0.11622640014276878,0.07086523045751683
開発,開発,0.12398809889469652,0.11414918137935799,0.08619350043904682
開発,会社,0.08989822593725016,0.08457972591392608,0.0628814998612852
開発,登録,0.08711747480621612,0.07658491309169232,0.1375278927575925
開発,手当,0.08646620486340267,0.08104140012497021,0.06693868479650046
開発,制度,0.0854715090202779,0.08109085776689903,0.05402151825759875
開発,プロジェクト,0.08218714508398285,0.07891174845290401,0.04150708475346563
開発,環境,0.08212089692507986,0.07892532959796342,0.04048848884628415
開発,技術,0.08210721056533452,0.07764963866709086,0.05740621559560262
開発,当社,0.0797707518235332,0.07630854996316375,0.04537108701502981
開発,月給,0.07900884838806976,0.07232161420045444,0.09246522303941208
開発,ポジション,0.07851709543629491,0.07009786999251763,0.12010672285300479
開発,ビル,0.07665604090973026,0.0683730788033654,0.12114361750749718
開発,業務,0.07083509702612903,0.06713587934798071,0.0551004576699506
開発,キャリア,0.0689100283499363,0.06536482025462469,0.0542372499687365
開発,マッチ,0.06650376388717331,0.0603847033838145,0.1013346122521314
開発,残業,0.06614220090311372,0.06292933121672609,0.051055201513625484
開発,以上,0.06262473124678547,0.059974629845795144,0.04418704055038246
開発,希望,0.062374626328216325,0.05948045753333007,0.048657473646104815
開発,働き,0.06205890018275206,0.05952737839094184,0.04252701631146308
開発,システム,0.061233734270999325,0.05728099142196066,0.06900618775818258
開発,取得,0.06016478571405322,0.05777600593457288,0.041345533337583965
開発,リモート,0.06009579093427737,0.05782362078399754,0.03929484386264226
開発,年収,0.057579403946064436,0.05472242167471949,0.052208622789528335
開発,アップ,0.0565621098702871,0.053523890922305604,0.05676379081617449
開発,賞与,0.05479041647287441,0.05224341229650058,0.048752638168399996
開発,公開,0.054433684169327805,0.05007626863688469,0.08701557945620514
開発,長生,0.053751112999729976,0.05059951186051588,0.06228520836133538
開発,比企,0.053751112999729976,0.05059951186051588,0.06228520836133538
PM,システム,0.13553916147129333,0.12025615642420633,0.12708709060329396
PM,案件,0.1324120453382942,0.11596770875476477,0.14180099581258473
PM,開発,0.11340217388328505,0.10356493402353258,0.09498620312467144
PM,業務,0.11238390959733317,0.10410628306589675,0.07951130601979992
PM,プロジェクト,0.08227425742392701,0.07834536164901724,0.050148415837442804
PM,制度,0.08216681330398956,0.0779404291231493,0.05422582642138651
PM,環境,0.08009397528171758,0.07617014215865467,0.051514058026699665
PM,手当,0.07963850464710263,0.07404668108454676,0.0755175448872734
PM,マッチ,0.07877833034042796,0.0702465557703089,0.12145470303221852
PM,エンジニア,0.07824992358901349,0.07357080149031428,0.06360025993892729
PM,当社,0.07699787897969,0.07289567728345256,0.056274965116054405
PM,ポジション,0.0755850200992696,0.06893750345085756,0.09642816051716685
PM,社員,0.07425560920084376,0.07088080269146235,0.04761241945963322
PM,登録,0.07419038728086491,0.06664085622203667,0.11328682563252807
PM,入社,0.064103820862035,0.060949430283918096,0.05175422581348095
PM,会社,0.06262748753274051,0.06070635770068415,0.03164627075023349
PM,年収,0.06052044188902951,0.057275201740821215,0.05666047520694024
PM,残業,0.054502574578767914,0.05286777764415056,0.030922369115287365
PM,支援,0.05291865514007184,0.05090641187222648,0.039528287181112454
PM,技術,0.05277137628594475,0.05031581935125988,0.048802880810553444
PM,支社,0.049779924686654445,0.045393860987478794,0.0966223979137946
PM,保険,0.04775546394187187,0.04567019773290372,0.04565923320856997
